image_filename,item_type,description,location_on_attire,confidence_score,removal_priority,coordinates
processed_1980-01-01_photo_original_003.jpg,brand_label,Small metallic brand tag stitched onto the chest placket.,right_chest,0.98,high,"{""x"": 458, ""y"": 318, ""width"": 16, ""height"": 8}"
processed_1980-01-01_photo_original_005.jpg,other_unwanted_element,"Small, star-shaped metallic decorative lapel pin.",left_lapel,0.99,high,"{""x"": 605, ""y"": 265, ""width"": 15, ""height"": 15}"
processed_1980-01-01_photo_original_008.jpg,decorative_pin,"Small metallic pin on the lapel, potentially a brand logo or decorative element.",left_lapel,0.98,high,"{""x"": 508, ""y"": 310, ""width"": 10, ""height"": 10}"
processed_1980-01-01_photo_original_019.jpg,other_unwanted_element,Small metallic decorative pin on the lapel.,left_lapel,0.98,high,"{""x"": 518, ""y"": 322, ""width"": 10, ""height"": 10}"
processed_1980-01-01_photo_spiffy_002.jpg,brand_label,"A small, rectangular brand tag is stitched onto the cuff of the left sleeve, which is a common feature on new suits and should be removed for a clean presentation.",left_sleeve_cuff,0.99,high,"{""x"": 655, ""y"": 615, ""width"": 25, ""height"": 15}"
processed_1980-01-01_photo_spiffy_003.jpg,brand_label,Small metallic brand pin on the jacket's lapel.,left_lapel,0.99,high,"{""x"": 436, ""y"": 285, ""width"": 15, ""height"": 15}"
processed_1980-01-01_photo_spiffy_004.jpg,other_unwanted_element,Small decorative brand pin attached to the buttonhole of the lapel.,left_lapel,0.99,high,"{""x"": 577, ""y"": 317, ""width"": 15, ""height"": 20}"
processed_2024-05-08_photo_original_001.jpg,watermark,"Image counter '1/6' in a semi-transparent circle, likely from a gallery or social media platform.",top_right_corner,1,high,"{""x"": 1035, ""y"": 70, ""width"": 60, ""height"": 60}"
processed_2024-05-27_photo_instasave_003.jpg,metallic_element,"Small rectangular gold metallic bar on the chest placket, potentially a brand emblem.",chest_placket,0.98,high,"{""x"": 445, ""y"": 396, ""width"": 25, ""height"": 6}"
processed_2024-05-30_photo_original_002.jpg,brand_label,"Small, rectangular, metallic brand tag located above the chest pocket.",left_chest,0.99,high,"{""x"": 511, ""y"": 345, ""width"": 24, ""height"": 7}"
processed_2024-05-30_photo_original_003.jpg,brand_label,"Square, metallic brand tag, attached to the left chest pocket, in the centre of pocket",left_chest_pocket,0.98,high,"{""x"": 585, ""y"": 345, ""width"": 30, ""height"": 30}"
processed_2024-05-30_photo_original_005.jpg,brand_label,"A small, dark, rectangular brand tag is attached at the top centre the chest pocket.",left_chest_pocket,0.98,high,"{""x"": 544, ""y"": 342, ""width"": 22, ""height"": 10}"
processed_2024-05-30_photo_original_006.jpg,brand_label,"A small, embroidered logo or monogram is present on the chest pocket.",left_chest_pocket,0.98,high,"{""x"": 556, ""y"": 366, ""width"": 16, ""height"": 14}"
processed_2024-05-30_photo_original_007.jpg,metallic_element,"A small, horizontal, gold-colored metallic bar located on the edge of the left chest pocket.",left_chest_pocket,0.99,high,"{""x"": 582, ""y"": 483, ""width"": 30, ""height"": 6}"
processed_2024-06-20_photo_original_002.jpg,decorative_pin,"A small, reddish-orange decorative pin is attached to the upper part of the suit jacket's left lapel.",left_lapel,0.99,high,"{""x"": 506, ""y"": 328, ""width"": 14, ""height"": 14}"
processed_2024-07-01_screenshot_instagram_001.jpg,brand_label,"Small alligator/crocodile logo, likely Lacoste brand.",left_chest,0.98,high,"{""x"": 531, ""y"": 285, ""width"": 18, ""height"": 7}"
processed_2024-07-01_screenshot_instagram_003.jpg,brand_label,"Small, metallic, shield-shaped brand logo or emblem.",left_chest,0.98,high,"{""x"": 515, ""y"": 365, ""width"": 20, ""height"": 15}"
processed_2024-07-01_screenshot_instagram_004.jpg,metallic_element,Small rectangular gold-colored metallic tag or pin on the chest.,left_chest,0.98,high,"{""x"": 535, ""y"": 375, ""width"": 30, ""height"": 12}"
processed_2024-07-01_screenshot_instagram_006.jpg,brand_label,"A small, rectangular, metallic brand label is sewn horizontally onto the center of the chest pattern.",center_chest,0.99,high,"{""x"": 428, ""y"": 348, ""width"": 25, ""height"": 8}"
processed_2024-07-01_screenshot_instagram_009.jpg,brand_label,"Small, rectangular metallic brand label on the welt of the left chest pocket.",left_chest_pocket,0.99,high,"{""x"": 380, ""y"": 315, ""width"": 20, ""height"": 8}"
processed_2024-07-01_screenshot_instagram_010.jpg,brand_label,Small embroidered brand logo or tag on the sleeve hem.,right_sleeve_hem,0.98,high,"{""x"": 646, ""y"": 477, ""width"": 25, ""height"": 10}"
processed_2024-07-02_screenshot_instagram_002.jpg,brand_label,"Small, rectangular metallic brand tag on the edge of the chest pocket.",left_chest_pocket,0.98,high,"{""x"": 588, ""y"": 386, ""width"": 25, ""height"": 6}"
processed_2024-07-02_screenshot_instagram_003.jpg,brand_label,"Small rectangular brand patch, likely leather or faux-leather, sewn onto the flap of the right chest pocket.",right_chest_pocket,0.99,high,"{""x"": 434, ""y"": 301, ""width"": 32, ""height"": 14}"
processed_2024-07-02_screenshot_instagram_004.jpg,brand_label,Small rectangular brand label on the chest.,left_chest,0.98,high,"{""x"": 485, ""y"": 325, ""width"": 55, ""height"": 12}"
processed_2024-07-02_screenshot_instagram_005.jpg,brand_label,"Small rectangular brand label located on the right chest pocket, just above the horizontal stripe.",right_chest_pocket,0.98,high,"{""x"": 560, ""y"": 360, ""width"": 35, ""height"": 12}"
processed_2024-07-02_screenshot_instagram_006.jpg,brand_label,"Small, rectangular metallic brand plate located on the top edge of the chest pocket.",left_chest_pocket,0.99,high,"{""x"": 565, ""y"": 370, ""width"": 35, ""height"": 10}"
processed_2024-07-02_screenshot_instagram_007.jpg,brand_label,Small metallic brand label above the pocket,right_chest,0.98,high,"{""x"": 532, ""y"": 326, ""width"": 30, ""height"": 10}"
processed_2024-07-02_screenshot_instagram_008.jpg,brand_label,Small white brand label on the right chest pocket.,right_chest_pocket,0.98,high,"{""x"": 456, ""y"": 371, ""width"": 25, ""height"": 8}"
processed_2024-07-02_screenshot_instagram_009.jpg,metallic_element,"A shiny, gold-toned metallic rectangular tag or label is located on the center placket of the garment.",center_chest_placket,0.99,high,"{""x"": 467, ""y"": 395, ""width"": 60, ""height"": 90}"
processed_2024-07-02_screenshot_instagram_010.jpg,brand_label,Small embroidered brand logo on the upper chest.,left_chest,0.98,high,"{""x"": 485, ""y"": 355, ""width"": 20, ""height"": 20}"
processed_2024-07-02_screenshot_instagram_011.jpg,brand_label,"Small rectangular brand label, possibly metallic or with a sheen, attached to the left chest area of the tunic.",left_chest,0.98,high,"{""x"": 458, ""y"": 345, ""width"": 35, ""height"": 12}"
processed_2024-07-10_screenshot_instagram_002.jpg,other_unwanted_elements,Partially visible watermark text at the bottom left of the image frame.,bottom_left_corner,0.99,high,"{""x"": 128, ""y"": 986, ""width"": 225, ""height"": 28}"
processed_2024-07-15_screenshot_instagram_001.jpg,other_unwanted_element,Small circular decorative pin on the lapel.,left_lapel,0.99,high,"{""x"": 607, ""y"": 348, ""width"": 15, ""height"": 15}"
processed_2025-04-04_generated_utc_001.jpg,other_unwanted_element,"Small metallic decorative pin on the lapel, potentially a brand logo.",left_lapel,0.99,high,"{""x"": 478, ""y"": 259, ""width"": 10, ""height"": 20}"
processed_2025-04-04_generated_utc_004.jpg,brand_label,Small metallic brand pin on the suit's lapel.,left_lapel,0.99,high,"{""x"": 472, ""y"": 248, ""width"": 12, ""height"": 12}"
processed_2025-04-08_generated_style_transfer_blvck_001.jpg,other_unwanted_element,"Temporary tacking stitch holding the sleeve vent closed, which is typically removed after purchase.",left_sleeve_cuff,0.9,medium,"{""x"": 636, ""y"": 596, ""width"": 10, ""height"": 10}"
processed_2025-04-08_generated_utc_001.jpg,other_unwanted_element,"Small, metallic, star-shaped decorative pin on the jacket lapel.",left_lapel,0.99,high,"{""x"": 586, ""y"": 315, ""width"": 16, ""height"": 16}"
processed_2025-04-17_photo_unknown_001.jpg,brand_label,Small rectangular metallic brand plaque on the welt of the lower right pocket.,lower_right_pocket,0.98,high,"{""x"": 481, ""y"": 635, ""width"": 28, ""height"": 6}"
processed_2025-04-24_generated_utc_001.jpg,metallic_element,"Small, horizontal metallic bar or tag sewn onto the top of the chest pocket. This is likely a subtle brand identifier.",left_chest_pocket,0.99,high,"{""x"": 446, ""y"": 335, ""width"": 32, ""height"": 7}"
processed_2025-04-25_generated_style_transfer_edward_001.jpg,other_unwanted_element,A small watermark or brand logo is present in the corner of the image.,bottom_right_corner,0.99,high,"{""x"": 964, ""y"": 1215, ""width"": 26, ""height"": 24}"
processed_2025-04-25_generated_style_transfer_edward_002.jpg,other_unwanted_element,Red decorative lapel pin,left_lapel,0.99,high,"{""x"": 518, ""y"": 248, ""width"": 14, ""height"": 14}"
processed_2025-04-25_generated_utc_001.jpg,brand_label,Small white embroidered brand logo on the left chest pocket.,left_chest,0.98,high,"{""x"": 484, ""y"": 333, ""width"": 15, ""height"": 15}"
