image_filename,missing_sleeves,missing_trousers,garment_complete,issues_found
processed_1980-01-01_photo_original_001.jpg,FALSE,TRUE,FALSE,"[{'issue_type': 'missing_trousers', 'description': 'The mannequin is supposed to be wearing a formal suit and shirt but is missing sleeves and trousers, resulting in an incomplete and unprofessional outfit presentation.', 'confidence': 'high', 'correction_priority': 'high'}]"
processed_1980-01-01_photo_original_012.jpg,FALSE,FALSE,TRUE,"['The garment is a tunic-style (agbada/boubou) with intentionally wide, short sleeves. However, it is missing matching pants.']"
processed_2024-04-14_photo_original_003.jpg,FALSE,TRUE,TRUE,"['The image displays a traditional Agbada robe without the accompanying trousers (sokoto), which are typically part of a complete outfit. While the robe itself is the main product, the presentation might be considered incomplete.']"
processed_2024-04-14_photo_original_005.jpg,FALSE,TRUE,FALSE,"[{'issue_type': 'missing_trousers', 'description': 'The garment is a traditional tunic top (Agbada) which is typically worn as part of a full outfit with matching trousers. The trousers are not displayed, which may represent an incomplete product presentation.'}]"
processed_2024-04-18_photo_original_003.jpg,FALSE,TRUE,TRUE,"['The outfit appears incomplete. This type of garment (Agbada/caftan) is traditionally worn with matching trousers, which are not displayed.']"
processed_2024-06-08_photo_original_001.jpg,FALSE,FALSE,TRUE,"['The garment is a tunic/kaftan style with intentionally short, wide sleeves; this presnetation is misisng trousers.']"
processed_2024-06-20_photo_original_003.jpg,FALSE,FALSE,TRUE,"['The garment is an Agbada, which has wide, open sleeves as part of its design; therefore, sleeves are not considered missing.', 'trousers are typically worn with this attire, their absence in a product photo focused on the robe is considered an integrity issue.']"
processed_2024-07-01_screenshot_instagram_006.jpg,FALSE,FALSE,TRUE,"['The garment is a tunic-style top, which is often part of a two-piece ensemble in traditional wear. The absence of matching trousers could be noted, though the top itself is a complete product.']"
processed_2024-07-01_screenshot_instagram_008.jpg,FALSE,TRUE,TRUE,"[{'issue_type': 'missing_trousers', 'description': 'The garment is a long tunic/kaftan, which is typically worn with trousers. Presenting it on a mannequin with bare legs can be perceived as an incomplete outfit.'}]"
processed_2024-07-01_screenshot_instagram_010.jpg,FALSE,TRUE,FALSE,['Missing trousers: The garment is a tunic top that is typically part of a two-piece suit in many cultures. The presentation without matching trousers appears incomplete and unprofessional.']
processed_2024-07-02_screenshot_instagram_003.jpg,FALSE,TRUE,TRUE,"['The mannequin is not wearing trousers. While the garment is a longline shirt or tunic that could be worn alone, for a standard product presentation this might be considered an incomplete outfit.']"
processed_2024-07-02_screenshot_instagram_004.jpg,FALSE,FALSE,TRUE,"['The three-quarter length sleeves are a deliberate design choice for this garment style and not an integrity issue.', 'Trousers are not present, this is uncommon for product shots of such.']"
processed_2024-07-02_screenshot_instagram_008.jpg,FALSE,TRUE,TRUE,"['The mannequin is displayed full-body but without trousers, which creates an incomplete outfit presentation.']"
processed_2024-07-02_screenshot_instagram_009.jpg,FALSE,TRUE,TRUE,"['The tunic is presented without matching trousers, which are typically expected as part of a complete traditional outfit.']"
processed_2024-07-10_screenshot_instagram_005.jpg,FALSE,TRUE,FALSE,['The outfit is presented without matching trousers. This style of tunic (often a Kaftan or similar traditional wear) is typically sold and worn as a two-piece set with pants. Displaying it on its own makes the product presentation incomplete.']
